CatID,OrgID,Type
18,3000,Discharge
18,3010,Discharge
18,3020,Discharge
18,3030,Discharge
18,3040,Discharge
18,3050,Discharge
18,3060,Discharge
18,3070,Discharge
18,3080,Discharge
18,3090,Discharge
18,3100,Discharge
18,3110,Discharge
18,3120,Discharge
18,3130,Discharge
18,3140,Discharge
18,3150,Discharge
18,3160,Discharge
18,3170,Discharge
18,3180,Discharge
18,3190,Discharge
18,3200,Discharge
18,3210,Discharge
18,3220,Discharge
18,3230,Discharge
18,3240,Discharge
18,3250,Discharge
18,3260,Discharge
18,3270,Discharge
18,3280,Discharge
18,3290,Discharge
18,3300,Discharge
18,3310,Discharge
18,3320,Discharge
18,3330,Discharge
18,3340,Discharge
18,3350,Discharge
18,3360,Discharge
18,3370,Discharge
18,3380,Discharge
18,3390,Discharge
18,3400,Discharge
18,3410,Discharge
18,3420,Discharge
18,3430,Discharge
18,3440,Discharge
18,3450,Discharge
18,3460,Discharge
18,3470,Discharge
18,3480,Discharge
18,3490,Discharge
18,3500,Discharge
18,3510,Discharge
18,3520,Discharge
18,3530,Discharge
18,3540,Discharge
18,3550,Discharge
18,3560,Discharge
18,3570,Discharge
18,3580,Discharge
18,3590,Discharge
18,3600,Discharge
18,3610,Discharge
18,3620,Discharge
18,3630,Discharge
18,3640,Discharge
18,3650,Discharge
18,3660,Discharge
18,3670,Discharge
18,3680,Discharge
18,3690,Discharge
18,3700,Discharge
18,3710,Discharge
18,3720,Discharge
18,3730,Discharge
18,3740,Discharge
18,3750,Discharge
18,3760,Discharge
18,3770,Discharge
18,3780,Discharge
18,3790,Discharge
18,3800,Discharge
17,3810,Discharge
18,3820,Discharge
18,3830,Discharge
18,3840,Discharge
18,3850,Discharge
18,3860,Discharge
18,3870,Discharge
18,3880,Discharge
18,3890,Discharge
18,3900,Discharge
18,3910,Discharge
18,3920,Discharge
18,3930,Discharge
18,3940,Discharge
18,3950,Discharge
18,3960,Discharge
18,3970,Discharge
18,3980,Discharge
18,3990,Discharge
18,4000,Discharge
18,4010,Discharge
18,4020,Discharge
18,4030,Discharge
18,4040,Discharge
18,4050,Discharge
18,4060,Discharge
18,4070,Discharge
18,4080,Discharge
18,4090,Discharge
18,4100,Discharge
18,4110,Discharge
18,4120,Discharge
18,4130,Discharge
18,4140,Discharge
18,4150,Discharge
18,4160,Discharge
18,4170,Discharge
18,4180,Discharge
18,4190,Discharge
18,4200,Discharge
18,4210,Discharge
18,4220,Discharge
18,4230,Discharge
18,4240,Discharge
18,4250,Discharge
18,4260,Discharge
18,4270,Discharge
18,4280,Discharge
18,4290,Discharge
18,4300,Discharge
18,4310,Discharge
18,4320,Discharge
18,4330,Discharge
18,4340,Discharge
18,4350,Discharge
18,4360,Discharge
18,4370,Discharge
18,4380,Discharge
18,4390,Discharge
18,4400,Discharge
22,4410,Discharge
22,4420,Discharge
22,4430,Discharge
22,4440,Discharge
22,4450,Discharge
22,4460,Discharge
22,4470,Discharge
22,4480,Discharge
22,4490,Discharge
22,4500,Discharge
